,Rank,Name,Type,Episodes,Studio,Release_season,Tags,Rating,Release_year,Description,Related_anime,Voice_actors
1051,1052,Zoku Sayonara Zetsubou Sensei,TV   ,13.0,SHAFT,Winter,"Comedy, Shounen, Slice of Life, Breaking the Fourth Wall, Dark Comedy, Gag, Parody, Satire, School Life, Teaching, Based on a Manga, Mature Themes,, Suicide",3.96,2008.0,"""Nozomu Itoshiki is in despair… again! Condemned a traitor to a religious cult he'd never joined, Nozomu finds himself pursued far-and-wide by its mutated, fanatical worshippers. In his final escape-turned-suicide-attempt, he plunges headlong into the oceanic depths. Sometime later he is discovered - beached, naked, and unconscious -by the unbearably cheery Fuura Kafuka, who drags him to her all-girl high school for care. To his dismay, he is instantly appointed teacher to Kafuka, and her class of extraordinary misfits. What ensues is an unending series of schizophrenic absurdities, beginning with the re-introduction of Nozomu's troubled students; and their problems - tail fetishes, stalking, closet-hiding – quickly become his problems. Thus the grand question arises: will Nozomu finally succeed in ending his life, or will his students beat him to it?""","Sayonara, Zetsubou-Sensei, Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu, Sayonara Zetsubou Sensei Jo: Zoku Zetsubou Shoujo Senshuu, Goku Sayonara Zetsubou Sensei, Zan Sayonara Zetsubou Sensei, Zan Sayonara Zetsubou Sensei Bangaichi, Sayonara Zetsubou Sensei Blu-ray Box Special, Sayonara Zetsubou Sensei Special Omake","Abiru Kobushi : Yuuko Gotou, Chiri Kitsu : Marina Inoue, Harumi Fujiyoshi : Miyu Matsuki, Kaere Kimura : Yuu Kobayashi, Kafuka Fuura : Ai Nonaka, Kiri Komori : Asuka Tanii, Matoi Tsunetsuki : Asami Sanada, Meru Otonashi : Chiwa Saitou, Kouji Kumeta
Original Creator, Yukihiro Miyamoto
Chief Director & Ed Director & Episode Director & Op Director & Storyboard, Akiyuki Simbo
Director, Naoyuki Tatsuwa
Assistant Director & Key Animator & Op Director & Storyboard, Shaft
Series Composition, Tomoki Hasegawa
Music, Hideyuki Morioka
Character Design & Chief Animation Director, Rei Egami
Photography Director"
1063,1064,Yotsuiro Biyori,TV   ,12.0,Zexcs,Spring,"Slice of Life, Cafe, Coworkers, Food and Beverage, Iyashikei, Work Life, Based on a Manga",3.95,2018.0,"'Our story takes place in Japanese Style Tea House ""Rokuhoudou"" which is quite popular due to the great efforts of Sui (shop manager in charge of tea), Gre (in charge of Latte Art), Tsubaki (in charge of desserts) and Tokitaka (in charge of the food). Not only do the excel in hospitality for their customers, but they also help out with their worries from time to time. A series of endearing stories that take place in this heartful restaurant. Who will be their customers today?'",,"Gregorio Valentino : Daisuke Ono, Kyousui Tougoku : Junichi Suwabe, Tokitaka Nagae : Yuuichi Nakamura, Tsubaki Nakao : Daiki Yamashita, Eisuke Tsunozaki : Kohsuke Toriumi, Hirokazu Isago : Tsuyoshi Koyama, Kinako : Kouhei Amasaki, Kyounosuke Tougoku : Eizou Tsuda, Yuu Shimizu
Original Creator, Tomomi Kamiya
Director, Kei Anjiki
Character Design, Kei Ajiki
Character Design"
1073,1074,My Little Monster,TV   ,13.0,Brain's Base,Fall ,"Comedy, Romance, Shoujo, Slice of Life, Opposites Attract, Romantic Comedy, School Life, Based on a Manga",3.95,2012.0,"""Impassive girl meets trouble maker in a brand new love story! After Mizutani Shizuku, a girl whose sole interest is studying, is asked to deliver some handouts to Yoshida Haru, a boy who hasn't come to school after spilling blood on the first day, she finds herself the target of his affection. This is a story about a boy and a girl who struggle with love and friendship. Opening yourself up to other people forces you to be honest with yourself.""",My Little Monster OVA,"Haru Yoshida : Tatsuhisa Suzuki, Shizuku Mizutani : Haruka Tomatsu, Asako Natsume : Atsumi Tanezaki, Kenji Yamaguchi : Takuma Terashima, Souhei Sasahara : Ryouta Oosaka, Chizuru Oshima : Kana Hanazawa, Issei Joujima : Shunzou Miyasaka, Kyoko Misawa : Ai Orikasa, Robiko
Original Creator, Hiro Kaburagi
Director, Masato Nakayama
Music, Tomohiro Kishi
Character Design, Makoto Shiraishi
Producer, Shuko Yokoyama
Producer, Sawako Hamano
Producer, Reiko Sasaki
Producer"
1078,1079,Mr. Osomatsu,TV   ,25.0,Pierrot,Fall ,"Comedy, Josei, Slice of Life, Breaking the Fourth Wall, Episodic, Family Life, Gag, NEET, Parody, Siblings, Slapstick, Based on a Manga",3.95,2015.0,"'Matsuno household has six naughty and mischievous sons (who are sextuplets), led by the eldest Osomatsu. They were grade schoolers back in the Shouwa period, but despite of still living in the same old household, the street view as well as the life style of modern day society have changed drastically.'","Osomatsu-kun, Osomatsu-kun (1988), Osomatsu-kun (1988) Special, Osomatsu-kun: Suika no Hoshi kara Konnichiwa zansu!, Osomatsu-san: Short Film Series, Osomatsu-san: Mutsugo to Ouma no Monogatari, Mr. Osomatsu: Virgin Hero, All-Free kono Natsu Ichioshi Monogatari Campaign Kokuchi Douga, Osomatsu-san: Ouma de Kobanashi, Osomatsu-san (2017), Mr. Osomatsu 2nd Season, dMatsu-san, Mr. Osomatsu x Mameshiba, Osomatsu-san The Movie, Mr. Osomatsu 3rd Season, Osomatsu-san (2022)","Choromatsu Matsuno : Hiroshi Kamiya, Ichimatsu Matsuno : Jun Fukuyama, Jyushimatsu Matsuno : Daisuke Ono, Karamatsu Matsuno : Yuuichi Nakamura, Osomatsu Matsuno : Takahiro Sakurai, Todomatsu Matsuno : Miyu Irino, Chibita : Ai Nonaka, Dayon : Nobuo Tobita, Fujio Akatsuka
Original Creator, Youichi Fujita
Director, Yukari Hashimoto
Music, Naoyuki Asano
Character Design"
1079,1080,Yuru Yuri ♪♪,TV   ,12.0,Doga Kobo,Summer,"Comedy, GL, Seinen, Shoujo-ai, Slice of Life, School Club, School Life, Based on a Manga",3.95,2012.0,"'With the Amusement club no longer in danger of being broken up by the student council, its members, Akari Akaza, Kyouko Toshinou, Yui Funami, and Chinatsu Yoshikawa, can finally focus on amusing themselves. More or less allied with the student council, the members of both organizations embark on wacky antics together! Plus, we finally meet the siblings of all these girls as they make the most of their days in middle school!'","Yuru Yuri, Yuru Yuri: Doushite, Tomaranai, Tokimeki, Doki Doki, Paradox, Eternal, Yuru Yuri Nachu Yachumi!, Yuru Yuri Nachu Yachumi!+, Yuru Yuri San☆Hai!, Yuru Yuri,","Akari Akaza : Shiori Mikami, Chinatsu Yoshikawa : Rumi Ookubo, Kyouko Toshinou : Yuka Ootsubo, Yui Funami : Minami Tsuda, Ayano Sugiura : Saki Fujita, Chitose Ikeda : Aki Toyosaki, Himawari Furutani : Suzuko Mimori, Sakurako Ohmuro : Emiri Katou, Namori
Original Creator, Masahiko Oota
Director, Yasuhiro Misawa
Music, Chiaki Nakajima
Character Design, Takashi Yoshizawa
Producer, Youko Kawahara
Producer"
1088,1089,Hidamari Sketch x Honeycomb,TV   ,12.0,SHAFT,Fall ,"Comedy, Seinen, Slice of Life, Art, Art School, Boarding House, Iyashikei, Neighbors, School Life, Based on a 4-Koma Manga, Based on a Manga",3.95,2012.0,"'At Hidamari Apartments, which is famous for being a gathering place for weirdos, art student Yuno is surrounded by heartwarming friends of Yamabuki High School. While still getting used to bumping into bizarre and chaotic situations every day, Yuno starts chasing her dreams step by step.'","Hidamari Sketch, Hidamari Sketch Specials, Hidamari Sketch: Chou Hidamatsuri Special, Hidamari Sketch x 365, Hidamari Sketch x 365 EX, Hidamari Sketch x 365 Specials, Hidamari Sketch x Hoshimittsu, Hidamari Sketch x Hoshimittsu Specials, Hidamari Sketch x SP, Hidamari Sketch: Sae & Hiro's Graduation Arc","Hiro : Yuuko Gotou, Miyako : Kaori Mizuhashi, Nazuna : Chiaki Omigawa, Nori : Hitomi Harada, Sae : Ryouko Shintani, Yuno : Kana Asumi, Natsume : Misato Fukuen, Principal : Choo, Ume Aoki
Original Creator, Akiyuki Simbo
Director, Yuki Yase
Director & Ed Director & Episode Director & Op Director & Storyboard, Miku Ooshima
Screenplay & Series Composition, Tomoki Kikuya
Music, Yoshiaki Itou
Animation Director & Character Design & Key Animator, Rei Egami
Photography Director, Hisaharu Iijima
Art Director"
1092,1093,Den-noh Coil,TV   ,26.0,MADHOUSE,Spring,"Comedy, Drama, Mystery, Sci Fi, Slice of Life, Virtual Reality, Original Work",3.95,2007.0,"'In a futuristic world, the virtual world is merely a layer on top of reality; within it, cyberpets are abundant and information is plentiful, and it is only visible by wearing special cyberglasses. In Daikoku City, this cyberspace is behaving strangely: cyberpets are going missing, dark entities known as ""the Illegal"" roam obsolete space that shouldn’t exist, and a large pink antivirus program known as Satchii wanders the streets, attacking both virus and pets alike. Sixth grader Yuko Okonogi has just moved to Daikoku City, and after cyberdetective children help her rescue her lost dog, she soon joins the others in a search for the truth behind these strange occurances.'",Den-noh Coil Recaps,"Fumie Hashimoto : Sachiko Kojima, Kenichi Harakawa : Romi Park, Yuuko Amasawa : Houko Kuwashima, Yuuko Okonogi : Fumiko Orikasa, Akira Hashimoto : Yumiko Kobayashi, Daichi Sawaguchi : Rie Saitou, Denpa : Kikumi Ueda, Densuke : Tomohisa Asou, Mitsuo Iso
Director & Key Animator & Op Director & Original Creator & Screenplay & Storyboard, Tsuneyoshi Saito
Music, Takeshi Honda
Character Design, Shigeru Watanabe
Producer, Hisako Matsumoto
Producer, Sanae Mitsugi
Producer, Michio Fukuda
Storyboard"
1094,1095,"Say ""I love you.""",TV   ,13.0,Zexcs,Fall ,"Drama, Romance, Shoujo, Slice of Life, School Life, Based on a Manga, Bullying,, Emotional Abuse",3.95,2012.0,"'Mei Tachibana has had neither a friend nor a boyfriend in 16 years, and she doesn’t plan on ending that streak any time soon. The outcast learned years ago that social obligations only lead to pain, and has carefully guarded her heart to keep from getting hurt. However, the girl can’t stay withdrawn forever, especially after attracting the attention of the handsome Yamato, who finds her caustic personality interesting and strives to date her after she roundhouse kicks him down the stairs. But even the most earnest of romances can be crippled by jealousy and insecurity, and this pair has plenty of both. Can their feelings for each other overcome their own emotional weaknesses, or will this love perish before it even begins?'","Say ""I love you."" - Mei and Marshmallow, Say ""I love you."" OVA","Mei Tachibana : Ai Kayano, Yamato Kurosawa : Takahiro Sakurai, Aiko Mutou : Yumi Uchiyama, Asami Oikawa : Risa Taneda, Kai Takemura : Tomoaki Maeno, Kenji Nakanishi : Nobunaga Shimazaki, Megumi Kitagawa : Minako Kotobuki, Nagi Kurosawa : Mariya Ise, Kanae Hazuki
Original Creator, Toshimasa Kuroyanagi
Director, Takuya Satou
Director, Yuuji Nomi
Music, Yoshiko Okuda
Character Design, Junko Watanabe
Character Design, Shinichi Ikeda
Producer, Tomoko Kawasaki
Producer"
1108,1109,Tamayura: Sotsugyou Shashin Movie 4 - Ashita,Movie,,TYO Animations,,"Slice of Life, Iyashikei, Photography, Original Work",3.95,2016.0,'Part 4 of the\xa0Tamayura: Sotsugyou Shashin movie series.',"Tamayura, Tamayura: Hitotose, Tamayura: Hitotose Special, Tamayura: More Aggressive Picture Drama, Tamayura: More Aggressive, Tamayura: More Aggressive OVA, Tamayura: Sotsugyou Shashin Movie 1 - Kizashi, Tamayura: Sotsugyou Shashin Movie 2 - Hibiki, Tamayura: Sotsugyou Shashin Movie 3 - Akogare","Fuu Sawatari, Kaoru Hanawa, Maon Sakurada, Norie Okazaki, Chihiro Miyoshi, Kanae Mitani, Mutsuko Shimokamiyama, Sayomi Hanawa, Junichi Satou
Director, Nobuyuki Nakajima
Music, Haruko Iizuka
Character Design, Asuka Yamazaki
Producer, Hidemasa Tasaka
Producer, Kentarou Kai
Producer, Shousei Itou
Producer, Kouji Sone
Producer"
1113,1114,To Love Ru: Darkness 2nd OVA,OVA  ,3.0,XEBEC,,"Comedy, Ecchi, Harem, Romance, Sci Fi, Shounen, Slice of Life, Aliens, Love Triangle, Non-Human Protagonists, Panty Shots, Based on a Manga, Nudity,, Sexual Content",3.94,2016.0,'No synopsis yet - check back soon!',"To Love Ru, To Love Ru OVA, Motto To Love Ru, To Love Ru: Darkness OVA, To Love Ru: Darkness, To Love Ru: Darkness 2nd, To Love Ru: Darkness 2nd Specials, To Love Ru: Multiplication - Mae kara Ushiro kara","Momo Belia Deviluke : Kikuko Inoue, Rito Yuuki : Akeno Watanabe, Haruna Sairenji : Sayuri Yahagi, Lala Satalin Deviluke : Haruka Tomatsu, Mikan Yuuki : Kana Hanazawa, Nana Asta Deviluke : Kanae Itou, Nemesis : Rina Hidaka, Peke : Satomi Arai, Saki Hasemi
Original Creator"
1115,1116,Goku Sayonara Zetsubou Sensei,OVA  ,3.0,SHAFT,,"Comedy, Shounen, Slice of Life, Breaking the Fourth Wall, Dark Comedy, Gag, Parody, Satire, Teaching, Based on a Manga, Mature Themes,, Suicide",3.94,2008.0,"""Itoshiki Nozomu continues to live his life in despair, unable to see the good in living... not that his homeroom class really helps matters! Mixing this suicidal teacher with his diverse and sometimes psychotic class often leads to some of the most bizarre situations. Even receiving Valentine's chocolates ends up with everyone deciding that full-blown otakus are the only citizens capable of keeping national secrets. Though whether it's discussing the hidden battles that are often far more complicated and more violent than ones that are broadcast, or lamenting that the changing world often means that nothing is quite as good as the original, it isn't surprising that Itoshiki is not the only one that’s left in despair.""","Sayonara, Zetsubou-Sensei, Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu, Zoku Sayonara Zetsubou Sensei, Sayonara Zetsubou Sensei Jo: Zoku Zetsubou Shoujo Senshuu, Zan Sayonara Zetsubou Sensei, Zan Sayonara Zetsubou Sensei Bangaichi, Sayonara Zetsubou Sensei Blu-ray Box Special, Sayonara Zetsubou Sensei Special Omake","Abiru Kobushi : Yuuko Gotou, Chiri Kitsu : Marina Inoue, Harumi Fujiyoshi : Miyu Matsuki, Kaere Kimura : Yuu Kobayashi, Kafuka Fuura : Ai Nonaka, Kiri Komori : Asuka Tanii, Matoi Tsunetsuki : Asami Sanada, Meru Otonashi, Kouji Kumeta
Original Creator, Yukihiro Miyamoto
Chief Director & Ed Director & Storyboard, Akiyuki Simbo
Director & Series Composition, Naoyuki Tatsuwa
Assistant Director & Key Animator & Storyboard, Shaft
Series Composition, Tomoki Hasegawa
Music, Hideyuki Morioka
Character Design & Chief Animation Director, Rei Egami
Photography Director"
1123,1124,Ani ni Tsukeru Kusuri wa Nai! 2,Web  ,24.0,Fanworks,Summer,"Comedy, Slice of Life, Chinese Animation, School Life, Short Episodes, Siblings, Based on a Webtoon",3.94,2018.0,'Second season of Ani ni Tsukeru Kusuri wa Nai!',"Ani ni Tsukeru Kusuri wa Nai!, Ani ni Tsukeru Kusuri wa Nai! 3, Ani ni Tsukeru Kusuri wa Nai! 4","Shi Fen : Yuuichi Nakamura, Shi Miao : Sora Amamiya, Kai Xin : Kensho Ono, Wan Sui : Natsuki Hanae, Butler : Shingo Katou, English Teacher, Kai Xin'S Mother, Miao Miao : Chitose Morinaga, Ling You
Original Creator, Rareko
Director"
1124,1125,Azumanga Daioh,TV   ,26.0,J.C.Staff,Spring,"Comedy, Shounen, Slice of Life, Episodic, Gag, Iyashikei, School Life, Based on a 4-Koma Manga, Based on a Manga",3.94,2002.0,"""Ten-year-old genius Chiyo, animal-loving Sakaki, loudmouth Tomo, athletic Kagura, weight-conscious Yomi and dim-witted Osaka are six friends who share laughs, good times, and a high school homeroom. With scary (and sometimes perverted) teachers, school festivals, penguin suits and general hilarity abounding, you can be sure that there's never a dull day in the life of one of these students!""","Azumanga Web Daioh, Azumanga Daioh: The Very Short Movie","Ayumu Kasuga : Yuki Matsuoka, Chiyo Mihama : Tomoko Kaneda, Kagura : Houko Kuwashima, Koyomi Mizuhara : Rie Tanaka, Sakaki : Yuu Asakawa, Tomo Takino : Chieko Higuchi, Kimura : Kouji Ishii, Minamo Kurosawa : Aya Hisakawa, Kiyohiko Azuma
Original Creator, Hiroshi Nishikiori
Director, Masaki Kurihara
Music, Yasuhisa Katou
Character Design, Shinichi Ikeda
Producer, Yuuji Matsukura
Producer, Nobuhiro Oosawa
Producer, Jun Fukuta
Storyboard"
1125,1126,The Slime Diaries: That Time I Got Reincarnated as a Slime,TV   ,12.0,8-Bit,Spring,"Adventure, Comedy, Fantasy, Shounen, Slice of Life, Isekai, Kingdom Building, Management, Monsters, Non-Human Protagonists, Person in a Strange World, Reincarnation, Slimes, Based on a 4-Koma Manga, Based on a Manga",3.94,2021.0,"'Even in another world, lives aren’t always on the line. There’s plenty of work to be done, from feeding the community and forging the items the community needs; as well as plenty of play …and hijinks throughout! Join Rimuru and friends as they kick back and enjoy their daily lives.'","That Time I Got Reincarnated as a Slime, That Time I Got Reincarnated as a Slime OVA, That Time I Got Reincarnated as a Slime Season 2, That Time I Got Reincarnated as a Slime Season 2: Part II","Rimuru Tempest : Miho Okazaki, Benimaru : Makoto Furukawa, Gabiru : Jun Fukushima, Geld : Tarou Yamaguchi, Gobta : Asuna Tomari, Hakurou : Houchuu Ootsuka, Kurobee : Junichi Yanagita, Milim Nava : Rina Hidaka, Shiba
Original Creator, Fuse
Original Creator, Mitz Vah
Original Character Design, Shintarou Inokawa
Director, Shin Tosaka
Director, Yuuji Haibara
Director, R.O.N
Music, Atsushi Irie
Character Design"
1128,1129,Aria the OVA: Arietta,OVA  ,1.0,Hal Film Maker,,"Sci Fi, Shounen, Slice of Life, Ocean, Based on a Manga",3.94,2007.0,"""Akari awakens one morning after having an unsettling dream - one where she has fulfilled her goal of becoming a Prima, yet as a result of her succession Alicia is no longer around, and there's an eager apprentice on her hands she has no clue how to handle. Taken aback by the realization that this is what must eventually come to pass, Akari spends her day trying to come to terms with this future reality, and learns a little bit about Alicia's past in the process.""","Aria the Animation, Aria the Natural, Aria the Origination, Aria the Avvenire, Aria the Crepuscolo","Akari Mizunashi : Erino Hazuki, Alicia Florence : Sayaka Oohara, President Aria : Chinami Nishimura, Aika S. Granzchesta :  Chiwa Saitou, Akira E. Ferrari : Junko Minagawa, Alice Carroll : Ryou Hirohashi, Athena Glory : Tomoko Kawakami, Ai Aino : Kaori Mizuhashi, Kozue Amano
Original Creator, Junichi Satou
Director, Takeshi Senoo
Music, Choro Club
Music, Makoto Koga
Character Design, Shinsaku Hatta
Producer, Yasuhiro Mikami
Producer, Tetsuo Uchida
Producer"
1134,1135,Genshiken 2,TV   ,12.0,ARMS,Fall ,"Comedy, Drama, Ecchi, Seinen, Slice of Life, College, Doujinshi Industry, Manga Industry, Otaku Culture, Parody, Satire, School Club, School Life, Based on a Manga",3.94,2007.0,"'Genshiken has won its own sales booth at the upcoming ComiFes, and so for the first time they will be participating as a seller instead of navigating through the convention crowds. The club, now with a couple of new members and Sasahara as the chairman, combines the talents of its various members and begins working on its debut doujinshi release. With members having various personal matters to take care of and the deadline rapidly approaching, will they be able to complete it in time?'","Genshiken, Kujibiki Unbalance OVA, Kujibiki Unbalance, Genshiken OVA, Ramen Angel Pretty Menma, Genshiken: Second Generation, Genshiken: Second Generation Specials, Genshiken: Second Generation OVA","Chika Ogiue : Kaori Mizuhashi, Kanako Ohno : Ayako Kawasumi, Kanji Sasahara : Takanori Ohyama, Makoto Kousaka : Mitsuki Saiga, Mitsunori Kugayama : Kenji Nomura, Saki Kasukabe : Satsuki Yukino, Souichirou Tanaka : Tomokazu Seki, Harunobu Madarame : Nobuyuki Hiyama, Shimoku Kio
Original Creator, Kinji Yoshimoto
Director & Color Design & Episode Director & Storyboard, Masaya Koike
Music, Shun Okazaki
Music, Yoshiaki Yanagida
Character Design, Takaya Ibira
Producer, Takurou Hatakeyama
Producer, Tatsuhiro Nitta
Producer"
1138,1139,Interviews with Monster Girls: The Demi-chans' Summer Break,DVD S,,A-1 Pictures,,"Comedy, Seinen, Slice of Life, Monster Girls, Supernatural, Vampires, Based on a Manga",3.94,2017.0,'Episode 13 of\xa0Interviews with Monster Girls.',Interviews with Monster Girls,"Hikari Takanashi : Kaede Hondo, Kyouko Machi : Minami Shinoda, Sakie Satou : Youko Hikasa, Tetsuo Takahashi : Junichi Suwabe, Yuki Kusakabe : Shiina Natsukawa, Himari Takanashi : Lynn, Atsumi Imori : Atsumi Tanezaki, Invisible Girl : Momo Asakura, Petosu
Original Creator"
1155,1156,Hidamari Sketch x Hoshimittsu Specials,TV Sp,,SHAFT,,"Comedy, Seinen, Slice of Life, Art, Art School, Based on a 4-Koma Manga, Based on a Manga",3.94,2010.0,"'When a new family restaurant opens in the area, the girls at the Hidamari Apartments decide to try it out during a half day off from class.\xa0While the group looks forward to eating the food, Miyako is determined to try every beverage available at the bar. Then, one weekend, Yuno decides to take advantage of having two free days and travels back home for a visit. Finally, one morning Miyako wakes up with a craving for meat, so the gang prepares to have a barbeque in the courtyard complete with meat, marshmallows and… dried fish?!'","Hidamari Sketch, Hidamari Sketch Specials, Hidamari Sketch: Chou Hidamatsuri Special, Hidamari Sketch x 365, Hidamari Sketch x 365 EX, Hidamari Sketch x 365 Specials, Hidamari Sketch x Hoshimittsu, Hidamari Sketch x SP, Hidamari Sketch x Honeycomb, Hidamari Sketch: Sae & Hiro's Graduation Arc","Hiro : Yuuko Gotou, Miyako : Kaori Mizuhashi, Nazuna : Chiaki Omigawa, Nori : Hitomi Harada, Sae : Ryouko Shintani, Yuno : Kana Asumi, Natsume : Misato Fukuen, Yoshinoya : Miyu Matsuki, Ume Aoki
Original Creator, Akiyuki Simbo
Director, Kenichi Ishikura
Director & Episode Director & Storyboard, Tomoki Kikuya
Music, Yoshiaki Itou
Character Design & Chief Animation Director, Atsuhiro Iwakami
Producer, Junichirou Tanaka
Producer, Kozue Kaneniwa
Producer"
1156,1157,Zan Sayonara Zetsubou Sensei Bangaichi,OVA  ,2.0,SHAFT,,"Comedy, Shounen, Slice of Life, Breaking the Fourth Wall, Dark Comedy, Gag, Parody, Satire, Teaching, Based on a Manga",3.94,2009.0,"'Plunged into despair by the most seemingly-trivial occurrences, the ever-negative Itoshiki sensei continues to teach his class the unhappy ways of the world. After witnessing the dangers of vacillation as various demonstrations descend into little more than hesitancy and petty debate, the depressed teacher unwillingly falls prey to it himself. Throwing in the manipulative and pretentious nature of books, museums and society in general, it certainly seems like a carefree and happy life is impossible for the miserable Itoshiki.'","Sayonara, Zetsubou-Sensei, Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu, Zoku Sayonara Zetsubou Sensei, Sayonara Zetsubou Sensei Jo: Zoku Zetsubou Shoujo Senshuu, Goku Sayonara Zetsubou Sensei, Zan Sayonara Zetsubou Sensei, Sayonara Zetsubou Sensei Blu-ray Box Special, Sayonara Zetsubou Sensei Special Omake","Abiru Kobushi : Yuuko Gotou, Chiri Kitsu : Marina Inoue, Harumi Fujiyoshi : Miyu Matsuki, Kaere Kimura : Yuu Kobayashi, Kafuka Fuura : Ai Nonaka, Kiri Komori : Asuka Tanii, Matoi Tsunetsuki : Asami Sanada, Meru Otonashi, Kouji Kumeta
Original Creator, Yukihiro Miyamoto
Chief Director & Episode Director & Op Director & Storyboard, Akiyuki Simbo
Director & Series Composition, Naoyuki Tatsuwa
Assistant Director & Storyboard, Shaft
Series Composition, Tomoki Hasegawa
Music, Hideyuki Morioka
Character Design & Chief Animation Director, Shouhei Uchimura
Photography Director"
1162,1163,Ani ni Tsukeru Kusuri wa Nai! 3,Web  ,12.0,Fanworks,Summer,"Comedy, Slice of Life, Chinese Animation, School Life, Short Episodes, Siblings, Based on a Webtoon",3.94,2019.0,'Third season of Ani ni Tsukeru Kusuri wa Nai!',"Ani ni Tsukeru Kusuri wa Nai!, Ani ni Tsukeru Kusuri wa Nai! 2, Ani ni Tsukeru Kusuri wa Nai! 4","Shi Fen : Yuuichi Nakamura, Shi Miao : Sora Amamiya, Kai Xin : Kensho Ono, Miao Miao : Chitose Morinaga, Wan Sui : Natsuki Hanae, Butler, English Teacher, Kai Xin'S Cousin, Ling You
Original Creator, Rareko
Director"
1171,1172,To Love Ru: Darkness OVA,OVA  ,6.0,XEBEC,,"Comedy, Ecchi, Harem, Romance, Sci Fi, Shounen, Slice of Life, Aliens, Love Triangle, Non-Human Protagonists, Panty Shots, Based on a Manga, Nudity,, Sexual Content",3.93,2012.0,'No synopsis yet - check back soon!',"To Love Ru, To Love Ru OVA, Motto To Love Ru, To Love Ru: Darkness, To Love Ru: Darkness 2nd, To Love Ru: Darkness 2nd Specials, To Love Ru: Darkness 2nd OVA, To Love Ru: Multiplication - Mae kara Ushiro kara","Momo Belia Deviluke : Aki Toyosaki, Rito Yuuki : Akeno Watanabe, Celine : Ryouka Yuzuki, Haruna Sairenji : Sayuri Yahagi, Kyouko Kirisaki : Chiemi Chiba, Mikan Yuuki : Kana Hanazawa, Nana Asta Deviluke : Kanae Itou, Run Elsie Jewelria : Fuyuka Ooura, Saki Hasemi
Original Creator"
1176,1177,Hidamari Sketch x Hoshimittsu,TV   ,12.0,SHAFT,Winter,"Comedy, Seinen, Slice of Life, Art, Art School, Boarding House, Iyashikei, Neighbors, School Life, Based on a 4-Koma Manga, Based on a Manga",3.93,2010.0,"'A new academic year at Yamabuki High has arrived with changes: Yuno and Miyako are now Juniors, Sae and Hiro have become seniors, and two new freshmen are moving into the Hidamari Apartments! Excited at the prospect of fresh faces in the residences, Yuno and the gang decide to give the two girls, Nori and Nazuna, the warmest welcome that they can. Now as Miyako and Yuno try to decide what electives they wish to take and everyone trying to get to know the new neighbors, the Hidamari Apartments have never been so busy.'","Hidamari Sketch, Hidamari Sketch Specials, Hidamari Sketch: Chou Hidamatsuri Special, Hidamari Sketch x 365, Hidamari Sketch x 365 EX, Hidamari Sketch x 365 Specials, Hidamari Sketch x Hoshimittsu Specials, Hidamari Sketch x SP, Hidamari Sketch x Honeycomb, Hidamari Sketch: Sae & Hiro's Graduation Arc","Hiro : Yuuko Gotou, Miyako : Kaori Mizuhashi, Nazuna : Chiaki Omigawa, Nori : Hitomi Harada, Sae : Ryouko Shintani, Yuno : Kana Asumi, Landlady : Miyuki Sawashiro, Mashiko : Takuma Terashima, Ume Aoki
Original Creator, Akiyuki Simbo
Director, Kenichi Ishikura
Director & Episode Director, Tomoki Kikuya
Music, Yoshiaki Itou
Animation Director & Character Design, Shinichirou Etou
Photography Director, Hisaharu Iijima
Art Director, Izumi Takizawa
Color Design"
1177,1178,Nisekoi,TV   ,20.0,SHAFT,Winter,"Comedy, Harem, Romance, Shounen, Slice of Life, Childhood Promise, Fake Romance, Gangs, Romantic Comedy, School Life, Tsundere, Yakuza, Based on a Manga",3.93,2014.0,"'Raku Ichijo is an average high school student. He also happens to be the sole heir to the head of a Yakuza Family called the Shuei-gumi. 10 years ago, Raku made a promise… a secret promise with a girl he met. They promised one another that they will “get married when they reunite.” Since then, Raku never let go of the pendant the girl gave him.'","Nisekoi OVA, Nisekoimonogatari, Nisekoi: Four Seasons, Nisekoi:, Nisekoi: OVA","Chitoge Kirisaki : Nao Touyama, Kosaki Onodera : Kana Hanazawa, Raku Ichijo : Kouki Uchiyama, Claude : Takehito Koyasu, Marika Tachibana : Kana Asumi, Ruri Miyamoto : Yumi Uchiyama, Seishirou Tsugumi : Mikako Komatsu, Shuu Maiko : Yuuki Kaji, Naoshi Komi
Original Creator, Akiyuki Simbo
Chief Director & Series Composition, Naoyuki Tatsuwa
Director & Episode Director & Op Director & Storyboard, Shaft
Series Composition, Tomoki Kikuya
Music, Naoki Chiba
Music, Kakeru Ishihama
Music, Nobuhiro Sugiyama
Character Design & Chief Animation Director"
