a1.Name,Proximo_Rikako_Aida,a2.Name,Trabalhou_com_proximos_Rikako_aida
"""Senryu Girl""","""Kana Hanazawa""","""Durarara!! X2 The Second Arc""","""Toshiyuki Toyonaga"""
"""Senryu Girl""","""Kana Hanazawa""","""Durarara!! X2 The Second Arc""","""Yuuichi Nakamura"""
"""Senryu Girl""","""Kana Hanazawa""","""Durarara!! X2 The Third Arc""","""Hiro Shimono"""
"""Senryu Girl""","""Kana Hanazawa""","""Durarara!! X2 The Third Arc""","""Hiroshi Kamiya"""
"""Senryu Girl""","""Kana Hanazawa""","""Durarara!! X2 The Third Arc""","""Jun Fukuyama"""
"""Senryu Girl""","""Kana Hanazawa""","""Durarara!! X2 The Third Arc""","""Mamoru Miyano"""
"""Senryu Girl""","""Kana Hanazawa""","""Durarara!! X2 The Third Arc""","""Miyuki Sawashiro"""
"""Senryu Girl""","""Kana Hanazawa""","""Durarara!! X2 The Third Arc""","""Toshiyuki Toyonaga"""
"""Senryu Girl""","""Kana Hanazawa""","""Durarara!! X2 The Third Arc""","""Yuuki Ono"""
"""Senryu Girl""","""Kana Hanazawa""","""Durarara!! X2: My Heart Is in the Pattern of a Hot Pot""","""Ayahi Takagaki"""
"""Senryu Girl""","""Kana Hanazawa""","""Durarara!! X2: My Heart Is in the Pattern of a Hot Pot""","""Hiroshi Kamiya"""
"""Senryu Girl""","""Kana Hanazawa""","""Durarara!! X2: My Heart Is in the Pattern of a Hot Pot""","""Mamoru Miyano"""
"""Senryu Girl""","""Kana Hanazawa""","""Durarara!! X2: My Heart Is in the Pattern of a Hot Pot""","""Miyuki Sawashiro"""
"""Senryu Girl""","""Kana Hanazawa""","""Durarara!! X2: My Heart Is in the Pattern of a Hot Pot""","""Toshiyuki Toyonaga"""
"""Senryu Girl""","""Kana Hanazawa""","""Durarara!! X2: My Heart Is in the Pattern of a Hot Pot""","""Yuuichi Nakamura"""
"""Senryu Girl""","""Kana Hanazawa""","""Fate/Prototype""","""Aki Toyosaki"""
"""Senryu Girl""","""Kana Hanazawa""","""Fate/Prototype""","""Chiwa Saitou"""
"""Senryu Girl""","""Kana Hanazawa""","""Fate/Prototype""","""Kazuya Nakai"""
"""Senryu Girl""","""Kana Hanazawa""","""Fate/Prototype""","""Megumi Ogata"""
"""Senryu Girl""","""Kana Hanazawa""","""Fate/Prototype""","""Takahiro Sakurai"""
"""Senryu Girl""","""Kana Hanazawa""","""Fate/Prototype""","""Takehito Koyasu"""
"""Senryu Girl""","""Kana Hanazawa""","""Fate/Prototype""","""Yuuichi Nakamura"""
"""Senryu Girl""","""Kana Hanazawa""","""Fireworks""","""Mamoru Miyano"""
"""Senryu Girl""","""Kana Hanazawa""","""Fireworks""","""Masaki Suda"""
"""Senryu Girl""","""Kana Hanazawa""","""Fireworks""","""Shintarou Asanuma"""
"""Senryu Girl""","""Kana Hanazawa""","""Fireworks""","""Suzu Hirose"""
"""Senryu Girl""","""Kana Hanazawa""","""Fireworks""","""Takako Matsu"""
"""Senryu Girl""","""Kana Hanazawa""","""Fireworks""","""Toshiyuki Toyonaga"""
"""Senryu Girl""","""Kana Hanazawa""","""Fireworks""","""Yuuki Kaji"""
"""Senryu Girl""","""Kana Hanazawa""","""Fractale""","""Minami Tsuda"""
"""Senryu Girl""","""Kana Hanazawa""","""Fractale""","""Mitsuru Miyamoto"""
"""Senryu Girl""","""Kana Hanazawa""","""Fractale""","""Shintarou Asanuma"""
"""Senryu Girl""","""Kana Hanazawa""","""Fractale""","""Sumi Shimamoto"""
"""Senryu Girl""","""Kana Hanazawa""","""Fractale""","""Tomoaki Maeno"""
"""Senryu Girl""","""Kana Hanazawa""","""Fractale""","""Yuka Iguchi"""
"""Senryu Girl""","""Kana Hanazawa""","""Fractale""","""Yuu Kobayashi"""
"""Senryu Girl""","""Kana Hanazawa""","""Freezing Specials""","""Akeno Watanabe"""
"""Senryu Girl""","""Kana Hanazawa""","""Freezing Specials""","""Ami Koshimizu"""
"""Senryu Girl""","""Kana Hanazawa""","""Freezing Specials""","""Eri Kitamura"""
"""Senryu Girl""","""Kana Hanazawa""","""Freezing Specials""","""Kana Ueda"""
"""Senryu Girl""","""Kana Hanazawa""","""Freezing Specials""","""Mamiko Noto"""
"""Senryu Girl""","""Kana Hanazawa""","""Freezing Specials""","""Marina Inoue"""
"""Senryu Girl""","""Kana Hanazawa""","""Freezing Specials""","""Mitsuhiro Ichiki"""
"""Senryu Girl""","""Kana Hanazawa""","""Freezing Vibration""","""Izumi Kitta"""
"""Senryu Girl""","""Kana Hanazawa""","""Freezing Vibration""","""Mamiko Noto"""
"""Senryu Girl""","""Kana Hanazawa""","""Freezing Vibration""","""Marina Inoue"""
"""Senryu Girl""","""Kana Hanazawa""","""Freezing Vibration""","""Mitsuhiro Ichiki"""
"""Senryu Girl""","""Kana Hanazawa""","""Freezing Vibration""","""Suzuko Mimori"""
"""Senryu Girl""","""Kana Hanazawa""","""Freezing Vibration""","""Yuko Kaida"""
"""Senryu Girl""","""Kana Hanazawa""","""Freezing Vibration""","""Yuuki Kuwahara"""
"""Senryu Girl""","""Kana Hanazawa""","""Freezing Vibration Specials""","""Hiroko Kusunoki"""
"""Senryu Girl""","""Kana Hanazawa""","""Freezing Vibration Specials""","""Izumi Kitta"""
"""Senryu Girl""","""Kana Hanazawa""","""Freezing Vibration Specials""","""Mamiko Noto"""
"""Senryu Girl""","""Kana Hanazawa""","""Freezing Vibration Specials""","""Marina Inoue"""
"""Senryu Girl""","""Kana Hanazawa""","""Freezing Vibration Specials""","""Rikako Yamaguchi"""
"""Senryu Girl""","""Kana Hanazawa""","""Freezing Vibration Specials""","""Suzuko Mimori"""
"""Senryu Girl""","""Kana Hanazawa""","""Freezing Vibration Specials""","""Yuko Kaida"""
"""Senryu Girl""","""Kana Hanazawa""","""From the New World""","""Daisuke Namikawa"""
"""Senryu Girl""","""Kana Hanazawa""","""From the New World""","""Hiroaki Hirata"""
"""Senryu Girl""","""Kana Hanazawa""","""From the New World""","""Kohsuke Toriumi"""
"""Senryu Girl""","""Kana Hanazawa""","""From the New World""","""Mai Toudou"""
"""Senryu Girl""","""Kana Hanazawa""","""From the New World""","""Motoki Takagi"""
"""Senryu Girl""","""Kana Hanazawa""","""From the New World""","""Risa Taneda"""
"""Senryu Girl""","""Kana Hanazawa""","""From the New World""","""Yuuki Kaji"""
"""Senryu Girl""","""Kana Hanazawa""","""Gabriel Dropout""","""Hideyuki Umezu"""
"""Senryu Girl""","""Kana Hanazawa""","""Gabriel Dropout""","""Inori Minase"""
"""Senryu Girl""","""Kana Hanazawa""","""Gabriel Dropout""","""Mai Fuchigami"""
"""Senryu Girl""","""Kana Hanazawa""","""Gabriel Dropout""","""Miyu Tomita"""
"""Senryu Girl""","""Kana Hanazawa""","""Gabriel Dropout""","""Naomi Oozora"""
"""Senryu Girl""","""Kana Hanazawa""","""Gabriel Dropout""","""Saori Oonishi"""
"""Senryu Girl""","""Kana Hanazawa""","""Gabriel Dropout""","""Tsuyoshi Koyama"""
"""Senryu Girl""","""Kana Hanazawa""","""Gabriel Dropout Specials""","""Miyu Tomita"""
"""Senryu Girl""","""Kana Hanazawa""","""Gabriel Dropout Specials""","""Naomi Oozora"""
"""Senryu Girl""","""Kana Hanazawa""","""Gabriel Dropout Specials""","""Saori Oonishi"""
"""Senryu Girl""","""Kana Hanazawa""","""Gatchaman Crowds Insight""","""Aya Hirano"""
"""Senryu Girl""","""Kana Hanazawa""","""Gatchaman Crowds Insight""","""Daisuke Hosomi"""
"""Senryu Girl""","""Kana Hanazawa""","""Gatchaman Crowds Insight""","""Daisuke Namikawa"""
"""Senryu Girl""","""Kana Hanazawa""","""Gatchaman Crowds Insight""","""Junichi Suwabe"""
"""Senryu Girl""","""Kana Hanazawa""","""Gatchaman Crowds Insight""","""Kaori Ishihara"""
"""Senryu Girl""","""Kana Hanazawa""","""Gatchaman Crowds Insight""","""Maaya Uchida"""
"""Senryu Girl""","""Kana Hanazawa""","""Gatchaman Crowds Insight""","""Sakura Tange"""
"""Senryu Girl""","""Kana Hanazawa""","""Girls Beyond the Wasteland""","""Akira Ishida"""
"""Senryu Girl""","""Kana Hanazawa""","""Girls Beyond the Wasteland""","""Haruka Chisuga"""
"""Senryu Girl""","""Kana Hanazawa""","""Girls Beyond the Wasteland""","""Satomi Akesaka"""
"""Senryu Girl""","""Kana Hanazawa""","""Girls Beyond the Wasteland""","""Satomi Satou"""
"""Senryu Girl""","""Kana Hanazawa""","""Girls Beyond the Wasteland""","""Seiichirou Yamashita"""
"""Senryu Girl""","""Kana Hanazawa""","""Girls Beyond the Wasteland""","""Takehito Koyasu"""
"""Senryu Girl""","""Kana Hanazawa""","""Girls Beyond the Wasteland""","""Toshiyuki Toyonaga"""
"""Senryu Girl""","""Kana Hanazawa""","""Girls Beyond the Wasteland OVA""","""Haruka Chisuga"""
"""Senryu Girl""","""Kana Hanazawa""","""Girls Beyond the Wasteland OVA""","""Satomi Akesaka"""
"""Senryu Girl""","""Kana Hanazawa""","""Girls Beyond the Wasteland OVA""","""Satomi Satou"""
"""Senryu Girl""","""Kana Hanazawa""","""Girls Beyond the Wasteland OVA""","""Seiichirou Yamashita"""
"""Senryu Girl""","""Kana Hanazawa""","""Girls Beyond the Wasteland OVA""","""Toshiyuki Toyonaga"""
"""Senryu Girl""","""Kana Hanazawa""","""Girls' Last Tour""","""Akira Ishida"""
"""Senryu Girl""","""Kana Hanazawa""","""Girls' Last Tour""","""Inori Minase"""
"""Senryu Girl""","""Kana Hanazawa""","""Girls' Last Tour""","""Kotono Mitsuishi"""
"""Senryu Girl""","""Kana Hanazawa""","""Girls' Last Tour""","""Sumi Shimamoto"""
"""Senryu Girl""","""Kana Hanazawa""","""Girls' Last Tour""","""Yurika Kubo"""
"""Senryu Girl""","""Kana Hanazawa""","""Girls' Last Tour""","""Yuuki Kaji"""
"""Senryu Girl""","""Kana Hanazawa""","""Gleipnir""","""Hisako Kanemoto"""
"""Senryu Girl""","""Kana Hanazawa""","""Gleipnir""","""Kana Ichinose"""
"""Senryu Girl""","""Kana Hanazawa""","""Gleipnir""","""Kazutomi Yamamoto"""
"""Senryu Girl""","""Kana Hanazawa""","""Gleipnir""","""Nao Touyama"""
"""Senryu Girl""","""Kana Hanazawa""","""Gleipnir""","""Natsuki Hanae"""
"""Senryu Girl""","""Kana Hanazawa""","""Gleipnir""","""Shouya Chiba"""
"""Senryu Girl""","""Kana Hanazawa""","""Gleipnir""","""Takahiro Sakurai"""
"""Senryu Girl""","""Kana Hanazawa""","""Go! Princess Pretty Cure Movie: Go! Go!! Grand 3-Part Movie!!!""","""Choo"""
"""Senryu Girl""","""Kana Hanazawa""","""Go! Princess Pretty Cure Movie: Go! Go!! Grand 3-Part Movie!!!""","""Hibiku Yamamura"""
"""Senryu Girl""","""Kana Hanazawa""","""Go! Princess Pretty Cure Movie: Go! Go!! Grand 3-Part Movie!!!""","""Masumi Asano"""
"""Senryu Girl""","""Kana Hanazawa""","""Go! Princess Pretty Cure Movie: Go! Go!! Grand 3-Part Movie!!!""","""Nao Touyama"""
"""Senryu Girl""","""Kana Hanazawa""","""Go! Princess Pretty Cure Movie: Go! Go!! Grand 3-Part Movie!!!""","""Ryuusei Nakao"""
"""Senryu Girl""","""Kana Hanazawa""","""Go! Princess Pretty Cure Movie: Go! Go!! Grand 3-Part Movie!!!""","""Shiho Kokido"""
"""Senryu Girl""","""Kana Hanazawa""","""Go! Princess Pretty Cure Movie: Go! Go!! Grand 3-Part Movie!!!""","""Yu Shimamura"""
"""Senryu Girl""","""Kana Hanazawa""","""Godzilla Movie 1: Planet of the Monsters""","""Daisuke Ono"""
"""Senryu Girl""","""Kana Hanazawa""","""Godzilla Movie 1: Planet of the Monsters""","""Junichi Suwabe"""
"""Senryu Girl""","""Kana Hanazawa""","""Godzilla Movie 1: Planet of the Monsters""","""Mamoru Miyano"""
"""Senryu Girl""","""Kana Hanazawa""","""Godzilla Movie 1: Planet of the Monsters""","""Takahiro Sakurai"""
"""Senryu Girl""","""Kana Hanazawa""","""Godzilla Movie 1: Planet of the Monsters""","""Tomokazu Sugita"""
"""Senryu Girl""","""Kana Hanazawa""","""Godzilla Movie 1: Planet of the Monsters""","""Yuuki Kaji"""
"""Senryu Girl""","""Kana Hanazawa""","""Good Luck Girl!""","""Haruka Tomatsu"""
"""Senryu Girl""","""Kana Hanazawa""","""Good Luck Girl!""","""Hiro Shimono"""
"""Senryu Girl""","""Kana Hanazawa""","""Good Luck Girl!""","""Kouki Uchiyama"""
"""Senryu Girl""","""Kana Hanazawa""","""Good Luck Girl!""","""Kozue Harashima"""
"""Senryu Girl""","""Kana Hanazawa""","""Good Luck Girl!""","""Yoshihisa Kawahara"""
"""Senryu Girl""","""Kana Hanazawa""","""Good Luck Girl!""","""Yumi Uchiyama"""
"""Senryu Girl""","""Kana Hanazawa""","""Guilty Crown""","""Ai Kayano"""
"""Senryu Girl""","""Kana Hanazawa""","""Guilty Crown""","""Akeno Watanabe"""
"""Senryu Girl""","""Kana Hanazawa""","""Guilty Crown""","""Aya Endou"""
"""Senryu Girl""","""Kana Hanazawa""","""Guilty Crown""","""Chika Fujimura"""
"""Senryu Girl""","""Kana Hanazawa""","""Guilty Crown""","""Kouki Uchiyama"""
"""Senryu Girl""","""Kana Hanazawa""","""Guilty Crown""","""Yu Shimamura"""
"""Senryu Girl""","""Kana Hanazawa""","""Guilty Crown""","""Yuuki Kaji"""
"""Senryu Girl""","""Kana Hanazawa""","""Gunslinger Girl: Il Teatrino""","""Anri Shiono"""
"""Senryu Girl""","""Kana Hanazawa""","""Gunslinger Girl: Il Teatrino""","""Atsuko Enomoto"""
"""Senryu Girl""","""Kana Hanazawa""","""Gunslinger Girl: Il Teatrino""","""Daisuke Kishio"""
"""Senryu Girl""","""Kana Hanazawa""","""Gunslinger Girl: Il Teatrino""","""Kana Akutsu"""
"""Senryu Girl""","""Kana Hanazawa""","""Gunslinger Girl: Il Teatrino""","""Kouzou Mito"""
"""Senryu Girl""","""Kana Hanazawa""","""Gunslinger Girl: Il Teatrino""","""Risa Mizuno"""
"""Senryu Girl""","""Kana Hanazawa""","""Gunslinger Girl: Il Teatrino""","""Takehito Koyasu"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends""","""Ayako Kawasumi"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends""","""Kanae Itou"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends""","""Marina Inoue"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends""","""Misato Fukuen"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends""","""Nozomi Yamamoto"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends""","""Ryouhei Kimura"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends""","""Yuka Iguchi"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends - A Round-Robin Story's Ending Is Way Extreme""","""Kanae Itou"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends - A Round-Robin Story's Ending Is Way Extreme""","""Marina Inoue"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends - A Round-Robin Story's Ending Is Way Extreme""","""Misato Fukuen"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends - A Round-Robin Story's Ending Is Way Extreme""","""Nozomi Yamamoto"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends - A Round-Robin Story's Ending Is Way Extreme""","""Ryouhei Kimura"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends - A Round-Robin Story's Ending Is Way Extreme""","""Yuka Iguchi"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends NEXT""","""Emiri Katou"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends NEXT""","""Kanae Itou"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends NEXT""","""Marina Inoue"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends NEXT""","""Misato Fukuen"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends NEXT""","""Nozomi Yamamoto"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends NEXT""","""Ryouhei Kimura"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends NEXT""","""Yuka Iguchi"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends OVA""","""Kanae Itou"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends OVA""","""Marina Inoue"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends OVA""","""Misato Fukuen"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends OVA""","""Nozomi Yamamoto"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends OVA""","""Ryouhei Kimura"""
"""Senryu Girl""","""Kana Hanazawa""","""Haganai: I Don't Have Many Friends OVA""","""Yuka Iguchi"""
"""Senryu Girl""","""Kana Hanazawa""","""Hakubo""","""Ayane Sakura"""
"""Senryu Girl""","""Kana Hanazawa""","""Hakubo""","""Daisuke Takahashi"""
"""Senryu Girl""","""Kana Hanazawa""","""Hakubo""","""Hiro Shimono"""
"""Senryu Girl""","""Kana Hanazawa""","""Hakubo""","""Hiyori Sakurada"""
"""Senryu Girl""","""Kana Hanazawa""","""Hakubo""","""Kaori Fukuhara"""
"""Senryu Girl""","""Kana Hanazawa""","""Hakubo""","""Seishirou Katou"""
"""Senryu Girl""","""Kana Hanazawa""","""Hakubo""","""Sora Amamiya"""
"""Senryu Girl""","""Kana Hanazawa""","""Happy Sugar Life""","""Aya Suzaki"""
"""Senryu Girl""","""Kana Hanazawa""","""Happy Sugar Life""","""Hiroshi Watanabe"""
"""Senryu Girl""","""Kana Hanazawa""","""Happy Sugar Life""","""Marie Miyake"""
"""Senryu Girl""","""Kana Hanazawa""","""Happy Sugar Life""","""Masumi Tazawa"""
"""Senryu Girl""","""Kana Hanazawa""","""Happy Sugar Life""","""Natsuki Hanae"""
"""Senryu Girl""","""Kana Hanazawa""","""Happy Sugar Life""","""Yumiri Hanamori"""
"""Senryu Girl""","""Kana Hanazawa""","""Hen Zemi""","""Akira Ishida"""
"""Senryu Girl""","""Kana Hanazawa""","""Hen Zemi""","""Minoru Shiraishi"""
"""Senryu Girl""","""Kana Hanazawa""","""Hen Zemi""","""Norihisa Mori"""
"""Senryu Girl""","""Kana Hanazawa""","""Hen Zemi""","""Shiho Kawaragi"""
"""Senryu Girl""","""Kana Hanazawa""","""Hen Zemi""","""Takashi Matsuyama"""
"""Senryu Girl""","""Kana Hanazawa""","""Hen Zemi""","""Yukiko Takaguchi"""
"""Senryu Girl""","""Kana Hanazawa""","""Hen Zemi TV""","""Akira Ishida"""
"""Senryu Girl""","""Kana Hanazawa""","""Hen Zemi TV""","""Minoru Shiraishi"""
"""Senryu Girl""","""Kana Hanazawa""","""Hen Zemi TV""","""Norihisa Mori"""
"""Senryu Girl""","""Kana Hanazawa""","""Hen Zemi TV""","""Ryouko Shintani"""
"""Senryu Girl""","""Kana Hanazawa""","""Hen Zemi TV""","""Shiho Kawaragi"""
"""Senryu Girl""","""Kana Hanazawa""","""Hen Zemi TV""","""Takashi Matsuyama"""
"""Senryu Girl""","""Kana Hanazawa""","""Hen Zemi TV""","""Yukiko Takaguchi"""
"""Senryu Girl""","""Kana Hanazawa""","""Human Lost""","""Haruka Chisuga"""
"""Senryu Girl""","""Kana Hanazawa""","""Human Lost""","""Jun Fukuyama"""
"""Senryu Girl""","""Kana Hanazawa""","""Human Lost""","""Kenichirou Matsuda"""
"""Senryu Girl""","""Kana Hanazawa""","""Human Lost""","""Mamoru Miyano"""
"""Senryu Girl""","""Kana Hanazawa""","""Human Lost""","""Miyuki Sawashiro"""
"""Senryu Girl""","""Kana Hanazawa""","""Human Lost""","""Rikiya Koyama"""
"""Senryu Girl""","""Kana Hanazawa""","""Human Lost""","""Shigeru Chiba"""
"""Senryu Girl""","""Kana Hanazawa""","""Hyperdimension Neptunia: The Eternity (True Ending) Promised""","""Aoi Yuuki"""
"""Senryu Girl""","""Kana Hanazawa""","""Hyperdimension Neptunia: The Eternity (True Ending) Promised""","""Asami Imai"""
"""Senryu Girl""","""Kana Hanazawa""","""Hyperdimension Neptunia: The Eternity (True Ending) Promised""","""Kana Asumi"""
"""Senryu Girl""","""Kana Hanazawa""","""Hyperdimension Neptunia: The Eternity (True Ending) Promised""","""Mika Kanai"""
"""Senryu Girl""","""Kana Hanazawa""","""Hyperdimension Neptunia: The Eternity (True Ending) Promised""","""Rie Tanaka"""
"""Senryu Girl""","""Kana Hanazawa""","""Hyperdimension Neptunia: The Eternity (True Ending) Promised""","""Rina Satou"""
"""Senryu Girl""","""Kana Hanazawa""","""Hyperdimension Neptunia: The Eternity (True Ending) Promised""","""Youji Ueda"""
"""Senryu Girl""","""Kana Hanazawa""","""If Her Flag Breaks""","""Ai Kayano"""
"""Senryu Girl""","""Kana Hanazawa""","""If Her Flag Breaks""","""Ayaka Suwa"""
"""Senryu Girl""","""Kana Hanazawa""","""If Her Flag Breaks""","""Ibuki Kido"""
"""Senryu Girl""","""Kana Hanazawa""","""If Her Flag Breaks""","""Kana Asumi"""
"""Senryu Girl""","""Kana Hanazawa""","""If Her Flag Breaks""","""Ryouta Oosaka"""
"""Senryu Girl""","""Kana Hanazawa""","""If Her Flag Breaks""","""Youko Hikasa"""
"""Senryu Girl""","""Kana Hanazawa""","""If Her Flag Breaks""","""Yukari Tamura"""
"""Senryu Girl""","""Kana Hanazawa""","""If Her Flag Breaks OVA""","""Ai Kakuma"""
"""Senryu Girl""","""Kana Hanazawa""","""If Her Flag Breaks OVA""","""Ai Kayano"""
"""Senryu Girl""","""Kana Hanazawa""","""If Her Flag Breaks OVA""","""Ibuki Kido"""
"""Senryu Girl""","""Kana Hanazawa""","""If Her Flag Breaks OVA""","""Kana Asumi"""
"""Senryu Girl""","""Kana Hanazawa""","""If Her Flag Breaks OVA""","""Ryouta Oosaka"""
"""Senryu Girl""","""Kana Hanazawa""","""If Her Flag Breaks OVA""","""Sakura Tange"""
"""Senryu Girl""","""Kana Hanazawa""","""Infini-T Force""","""Ai Kayano"""
"""Senryu Girl""","""Kana Hanazawa""","""Infini-T Force""","""Daisuke Hirakawa"""
"""Senryu Girl""","""Kana Hanazawa""","""Infini-T Force""","""Hiroki Yasumoto"""
"""Senryu Girl""","""Kana Hanazawa""","""Infini-T Force""","""Kenichi Suzumura"""
"""Senryu Girl""","""Kana Hanazawa""","""Infini-T Force""","""Soma Saito"""
"""Senryu Girl""","""Kana Hanazawa""","""Infini-T Force""","""Takahiro Sakurai"""
"""Senryu Girl""","""Kana Hanazawa""","""Infini-T Force""","""Tomokazu Seki"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos""","""Asami Shimoda"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos""","""Kouki Uchiyama"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos""","""Marina Inoue"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos""","""Megumi Toyoguchi"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos""","""Youko Hikasa"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos""","""Yukana"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos 2""","""Asami Shimoda"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos 2""","""Kouki Uchiyama"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos 2""","""Marina Inoue"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos 2""","""Megumi Toyoguchi"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos 2""","""Suzuko Mimori"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos 2""","""Youko Hikasa"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos 2""","""Yukana"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos 2: Infinite Wedding""","""Asami Shimoda"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos 2: Infinite Wedding""","""Chiwa Saitou"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos 2: Infinite Wedding""","""Kouki Uchiyama"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos 2: Infinite Wedding""","""Marina Inoue"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos 2: Infinite Wedding""","""Suzuko Mimori"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos 2: Infinite Wedding""","""Youko Hikasa"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos 2: Infinite Wedding""","""Yukana"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos 2: One's Summer Memories""","""Asami Shimoda"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos 2: One's Summer Memories""","""Kouki Uchiyama"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos 2: One's Summer Memories""","""Mai Goto"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos 2: One's Summer Memories""","""Marina Inoue"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos 2: One's Summer Memories""","""Tamami Oda"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos 2: One's Summer Memories""","""Youko Hikasa"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos 2: One's Summer Memories""","""Yukana"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos Encore: A Sextet Yearns to Be in Love""","""Asami Shimoda"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos Encore: A Sextet Yearns to Be in Love""","""Kouki Uchiyama"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos Encore: A Sextet Yearns to Be in Love""","""Makoto Yasumura"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos Encore: A Sextet Yearns to Be in Love""","""Marina Inoue"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos Encore: A Sextet Yearns to Be in Love""","""Megumi Toyoguchi"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos Encore: A Sextet Yearns to Be in Love""","""Youko Hikasa"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos Encore: A Sextet Yearns to Be in Love""","""Yukana"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos: World Purge-hen""","""Asami Shimoda"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos: World Purge-hen""","""Kouki Uchiyama"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos: World Purge-hen""","""Marina Inoue"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos: World Purge-hen""","""Megumi Toyoguchi"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos: World Purge-hen""","""Suzuko Mimori"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos: World Purge-hen""","""Youko Hikasa"""
"""Senryu Girl""","""Kana Hanazawa""","""Infinite Stratos: World Purge-hen""","""Yukana"""
